y1,y2
19.007,3.06248
15.8642,1.42643
18.5584,3.31967
18.4586,2.42027
15.1805,4.08682
13.9162,2.156
21.2035,2.78811
18.7396,3.45371
14.663,2.47455
21.5389,2.9338
14.9999,2.07993
20.4689,4.06909
18.4451,2.22109
18.3939,3.25598
21.144,3.59908
19.8316,3.41307
18.9773,3.29723
22.0645,2.3024
19.223,2.64564
17.539,2.50492
21.8183,2.68581
15.9978,2.52301
19.4199,2.27729
17.1247,3.66273
18.892,3.325
17.7501,3.26845
15.9827,4.11585
16.0378,3.37163
19.5195,3.68337
19.2262,1.15818
15.5464,2.82252
18.2574,2.9134
16.3183,1.36028
14.94,3.11747
19.2868,3.15074
16.4086,1.21549
17.0502,2.83501
20.4672,5.48203
18.4197,1.45871
16.885,1.71677
15.5503,3.09539
18.9409,2.96083
21.5134,3.0176
18.0643,1.73488
20.8613,3.01268
18.7887,4.08248
14.1405,0.80146
18.5453,3.52659
18.2708,4.22568
15.4418,1.18849
